tier,wins,losses,veteran,inactive,freshBlood,hotStreak,role,winRate,totalGames,region
CHALLENGER,198,142,True,False,False,False,Jungle,58.24,340,NorthAmerica
CHALLENGER,178,122,True,False,False,False,Jungle,59.33,300,NorthAmerica
CHALLENGER,119,67,True,False,False,False,Top,63.98,186,NorthAmerica
CHALLENGER,251,183,True,False,False,False,Mid,57.83,434,NorthAmerica
CHALLENGER,120,51,False,False,False,False,Bottom,70.18,171,NorthAmerica
CHALLENGER,267,204,True,False,False,True,Bottom,56.69,471,NorthAmerica
CHALLENGER,189,133,True,False,False,False,Mid,58.7,322,NorthAmerica
CHALLENGER,271,219,True,False,False,False,Mid,55.31,490,NorthAmerica
CHALLENGER,139,98,True,False,False,False,Bottom,58.65,237,NorthAmerica
CHALLENGER,369,326,True,False,False,False,Top,53.09,695,NorthAmerica
CHALLENGER,155,115,True,False,False,False,Bottom,57.41,270,NorthAmerica
CHALLENGER,191,147,True,False,False,False,Bottom,56.51,338,NorthAmerica
CHALLENGER,133,87,True,False,False,False,Bottom,60.45,220,NorthAmerica
CHALLENGER,209,171,True,False,False,False,Bottom,55.0,380,NorthAmerica
CHALLENGER,266,228,True,False,False,False,Jungle,53.85,494,NorthAmerica
CHALLENGER,264,229,True,False,False,False,Top,53.55,493,NorthAmerica
CHALLENGER,87,47,False,False,False,False,Jungle,64.93,134,NorthAmerica
CHALLENGER,161,76,True,False,False,False,Top,67.93,237,NorthAmerica
CHALLENGER,142,107,True,False,False,True,Bottom,57.03,249,NorthAmerica
CHALLENGER,90,57,True,False,False,False,Bottom,61.22,147,NorthAmerica
CHALLENGER,187,155,True,False,False,False,Jungle,54.68,342,NorthAmerica
CHALLENGER,102,71,True,False,False,False,Bottom,58.96,173,NorthAmerica
CHALLENGER,232,197,True,False,False,False,Mid,54.08,429,NorthAmerica
CHALLENGER,172,123,True,False,False,False,Mid,58.31,295,NorthAmerica
CHALLENGER,242,195,True,False,False,False,Bottom,55.38,437,NorthAmerica
CHALLENGER,209,123,True,False,False,True,Bottom,62.95,332,NorthAmerica
CHALLENGER,271,235,True,False,False,False,Top,53.56,506,NorthAmerica
CHALLENGER,152,125,True,False,False,False,Jungle,54.87,277,NorthAmerica
CHALLENGER,147,119,True,False,False,False,Top,55.26,266,NorthAmerica
CHALLENGER,137,102,True,False,False,True,Bottom,57.32,239,NorthAmerica
CHALLENGER,350,317,True,False,False,False,Top,52.47,667,NorthAmerica
CHALLENGER,105,53,False,False,False,False,Jungle,66.46,158,NorthAmerica
CHALLENGER,129,103,True,False,False,False,Jungle,55.6,232,NorthAmerica
CHALLENGER,205,181,True,False,False,False,Mid,53.11,386,NorthAmerica
CHALLENGER,145,124,True,False,False,False,Mid,53.9,269,NorthAmerica
CHALLENGER,158,131,True,False,False,True,Bottom,54.67,289,NorthAmerica
CHALLENGER,245,150,True,False,False,True,Bottom,62.03,395,NorthAmerica
CHALLENGER,240,206,True,False,False,False,Top,53.81,446,NorthAmerica
CHALLENGER,117,85,True,False,False,False,Top,57.92,202,NorthAmerica
CHALLENGER,130,82,True,False,False,False,Jungle,61.32,212,NorthAmerica
CHALLENGER,176,145,True,False,False,False,Top,54.83,321,NorthAmerica
CHALLENGER,155,132,True,False,False,False,Bottom,54.01,287,NorthAmerica
CHALLENGER,152,136,True,False,False,True,Bottom,52.78,288,NorthAmerica
CHALLENGER,87,58,True,False,False,False,Mid,60.0,145,NorthAmerica
CHALLENGER,121,92,True,False,False,False,Bottom,56.81,213,NorthAmerica
CHALLENGER,177,153,True,False,False,False,Mid,53.64,330,NorthAmerica
CHALLENGER,260,230,True,False,False,False,Bottom,53.06,490,NorthAmerica
CHALLENGER,237,206,True,False,False,False,Bottom,53.5,443,NorthAmerica
CHALLENGER,173,90,False,False,False,False,Mid,65.78,263,NorthAmerica
CHALLENGER,82,36,False,False,False,False,Bottom,69.49,118,NorthAmerica
CHALLENGER,81,46,False,False,False,False,Bottom,63.78,127,NorthAmerica
CHALLENGER,133,98,True,False,False,False,Jungle,57.58,231,NorthAmerica
CHALLENGER,85,67,True,False,False,False,Jungle,55.92,152,NorthAmerica
CHALLENGER,161,125,False,False,False,False,Mid,56.29,286,NorthAmerica
CHALLENGER,151,71,False,False,False,False,Top,68.02,222,NorthAmerica
CHALLENGER,133,113,True,False,False,False,Top,54.07,246,NorthAmerica
CHALLENGER,259,223,True,False,False,False,Bottom,53.73,482,NorthAmerica
CHALLENGER,128,101,True,False,False,True,Mid,55.9,229,NorthAmerica
CHALLENGER,289,264,True,False,False,False,Mid,52.26,553,NorthAmerica
CHALLENGER,162,131,True,False,False,True,Jungle,55.29,293,NorthAmerica
CHALLENGER,122,98,True,False,False,True,Bottom,55.45,220,NorthAmerica
CHALLENGER,157,134,True,False,False,False,Jungle,53.95,291,NorthAmerica
CHALLENGER,147,100,True,False,False,True,Jungle,59.51,247,NorthAmerica
CHALLENGER,101,82,True,False,False,False,Bottom,55.19,183,NorthAmerica
CHALLENGER,167,138,True,False,False,False,Top,54.75,305,NorthAmerica
CHALLENGER,175,152,True,False,False,True,Top,53.52,327,NorthAmerica
CHALLENGER,197,171,False,False,False,False,Bottom,53.53,368,NorthAmerica
CHALLENGER,214,164,True,False,False,True,Mid,56.61,378,NorthAmerica
CHALLENGER,211,189,True,False,False,False,Bottom,52.75,400,NorthAmerica
CHALLENGER,147,125,True,False,False,False,Top,54.04,272,NorthAmerica
CHALLENGER,177,134,True,False,False,False,Mid,56.91,311,NorthAmerica
CHALLENGER,207,156,True,False,False,False,Mid,57.02,363,NorthAmerica
CHALLENGER,174,152,True,False,False,False,Jungle,53.37,326,NorthAmerica
CHALLENGER,194,173,True,False,False,False,Bottom,52.86,367,NorthAmerica
CHALLENGER,97,67,False,False,False,False,Jungle,59.15,164,NorthAmerica
CHALLENGER,163,143,True,False,False,False,Mid,53.27,306,NorthAmerica
CHALLENGER,131,112,True,False,False,True,Mid,53.91,243,NorthAmerica
CHALLENGER,189,159,True,False,False,True,Bottom,54.31,348,NorthAmerica
CHALLENGER,182,151,True,False,False,False,Jungle,54.65,333,NorthAmerica
CHALLENGER,154,126,True,False,False,False,Bottom,55.0,280,NorthAmerica
CHALLENGER,184,159,True,False,False,False,Mid,53.64,343,NorthAmerica
CHALLENGER,150,128,True,False,False,False,Mid,53.96,278,NorthAmerica
CHALLENGER,132,112,True,False,False,False,Mid,54.1,244,NorthAmerica
CHALLENGER,267,241,False,False,False,False,Bottom,52.56,508,NorthAmerica
CHALLENGER,278,258,True,False,False,False,Bottom,51.87,536,NorthAmerica
CHALLENGER,77,52,False,False,False,False,Bottom,59.69,129,NorthAmerica
CHALLENGER,106,88,False,False,False,False,Jungle,54.64,194,NorthAmerica
CHALLENGER,245,209,True,False,False,False,Top,53.96,454,NorthAmerica
CHALLENGER,85,62,False,False,False,False,Bottom,57.82,147,NorthAmerica
CHALLENGER,81,53,False,False,False,True,Jungle,60.45,134,NorthAmerica
CHALLENGER,241,212,True,False,False,False,Top,53.2,453,NorthAmerica
CHALLENGER,82,53,False,False,False,True,Bottom,60.74,135,NorthAmerica
CHALLENGER,116,97,False,False,False,False,Jungle,54.46,213,NorthAmerica
CHALLENGER,108,78,False,False,False,False,Mid,58.06,186,NorthAmerica
CHALLENGER,244,229,True,False,False,False,Top,51.59,473,NorthAmerica
CHALLENGER,97,79,True,False,False,True,Jungle,55.11,176,NorthAmerica
CHALLENGER,80,50,False,False,False,True,Bottom,61.54,130,NorthAmerica
CHALLENGER,107,84,True,False,False,False,Bottom,56.02,191,NorthAmerica
CHALLENGER,139,117,True,False,False,False,Bottom,54.3,256,NorthAmerica
CHALLENGER,148,124,True,False,False,False,Mid,54.41,272,NorthAmerica
CHALLENGER,134,110,True,False,False,False,Jungle,54.92,244,NorthAmerica
CHALLENGER,204,184,True,False,False,False,Top,52.58,388,NorthAmerica
CHALLENGER,133,109,True,False,False,False,Top,54.96,242,NorthAmerica
CHALLENGER,94,59,False,False,False,False,Bottom,61.44,153,NorthAmerica
CHALLENGER,301,287,True,False,False,False,Mid,51.19,588,NorthAmerica
CHALLENGER,90,70,True,False,False,False,Bottom,56.25,160,NorthAmerica
CHALLENGER,54,23,False,False,False,False,Mid,70.13,77,NorthAmerica
CHALLENGER,85,67,False,False,False,True,Bottom,55.92,152,NorthAmerica
CHALLENGER,155,135,True,False,False,False,Bottom,53.45,290,NorthAmerica
CHALLENGER,94,78,False,False,False,True,Bottom,54.65,172,NorthAmerica
CHALLENGER,79,64,False,False,False,False,Jungle,55.24,143,NorthAmerica
CHALLENGER,66,36,False,False,False,True,Mid,64.71,102,NorthAmerica
CHALLENGER,83,61,False,False,False,False,Jungle,57.64,144,NorthAmerica
CHALLENGER,112,90,True,False,False,False,Mid,55.45,202,NorthAmerica
CHALLENGER,105,66,False,False,False,True,Mid,61.4,171,NorthAmerica
CHALLENGER,298,281,False,False,False,False,Bottom,51.47,579,NorthAmerica
CHALLENGER,100,86,True,False,False,False,Mid,53.76,186,NorthAmerica
CHALLENGER,244,222,True,False,False,False,Mid,52.36,466,NorthAmerica
CHALLENGER,81,46,False,False,False,False,Bottom,63.78,127,NorthAmerica
CHALLENGER,190,171,True,False,False,False,Bottom,52.63,361,NorthAmerica
CHALLENGER,86,63,False,False,False,False,Bottom,57.72,149,NorthAmerica
CHALLENGER,136,82,False,False,False,False,Mid,62.39,218,NorthAmerica
CHALLENGER,111,88,True,False,False,False,Mid,55.78,199,NorthAmerica
CHALLENGER,187,143,True,False,False,False,Mid,56.67,330,NorthAmerica
CHALLENGER,82,63,False,False,False,False,Top,56.55,145,NorthAmerica
CHALLENGER,193,122,True,False,False,False,Bottom,61.27,315,NorthAmerica
CHALLENGER,183,160,False,False,False,False,Bottom,53.35,343,NorthAmerica
CHALLENGER,200,169,True,False,False,False,Bottom,54.2,369,NorthAmerica
CHALLENGER,165,85,False,False,False,False,Jungle,66.0,250,NorthAmerica
CHALLENGER,144,124,True,False,False,False,Jungle,53.73,268,NorthAmerica
CHALLENGER,186,139,False,False,False,True,Top,57.23,325,NorthAmerica
CHALLENGER,57,31,False,False,False,True,Jungle,64.77,88,NorthAmerica
CHALLENGER,175,166,False,False,False,False,Jungle,51.32,341,NorthAmerica
CHALLENGER,98,68,False,False,False,False,Bottom,59.04,166,NorthAmerica
CHALLENGER,201,165,True,False,False,False,Jungle,54.92,366,NorthAmerica
CHALLENGER,86,57,False,False,False,False,Jungle,60.14,143,NorthAmerica
CHALLENGER,105,80,False,False,False,False,Top,56.76,185,NorthAmerica
CHALLENGER,101,85,False,False,False,False,Bottom,54.3,186,NorthAmerica
CHALLENGER,210,187,True,False,False,False,Jungle,52.9,397,NorthAmerica
CHALLENGER,114,93,False,False,False,False,Top,55.07,207,NorthAmerica
CHALLENGER,73,47,False,False,False,False,Top,60.83,120,NorthAmerica
CHALLENGER,186,167,True,False,False,False,Jungle,52.69,353,NorthAmerica
CHALLENGER,163,137,False,False,False,False,Top,54.33,300,NorthAmerica
CHALLENGER,247,240,True,False,False,False,Bottom,50.72,487,NorthAmerica
CHALLENGER,137,118,False,False,True,True,Mid,53.73,255,NorthAmerica
CHALLENGER,63,46,False,False,False,False,Bottom,57.8,109,NorthAmerica
CHALLENGER,163,125,True,False,False,True,Mid,56.6,288,NorthAmerica
CHALLENGER,149,111,False,False,False,False,Bottom,57.31,260,NorthAmerica
CHALLENGER,74,55,False,False,False,False,Jungle,57.36,129,NorthAmerica
CHALLENGER,177,159,True,False,False,True,Bottom,52.68,336,NorthAmerica
CHALLENGER,225,207,False,False,False,False,Mid,52.08,432,NorthAmerica
CHALLENGER,208,194,False,False,False,False,Mid,51.74,402,NorthAmerica
CHALLENGER,179,144,False,False,False,True,Mid,55.42,323,NorthAmerica
CHALLENGER,134,111,False,False,True,False,Top,54.69,245,NorthAmerica
CHALLENGER,119,100,True,False,False,False,Jungle,54.34,219,NorthAmerica
CHALLENGER,172,151,True,False,False,True,Mid,53.25,323,NorthAmerica
CHALLENGER,93,63,False,False,False,False,Bottom,59.62,156,NorthAmerica
CHALLENGER,240,216,False,False,False,True,Mid,52.63,456,NorthAmerica
CHALLENGER,154,124,False,False,True,False,Bottom,55.4,278,NorthAmerica
CHALLENGER,136,109,True,False,False,False,Mid,55.51,245,NorthAmerica
CHALLENGER,169,138,False,False,False,False,Bottom,55.05,307,NorthAmerica
CHALLENGER,161,134,False,False,True,False,Bottom,54.58,295,NorthAmerica
CHALLENGER,126,117,True,False,False,False,Top,51.85,243,NorthAmerica
CHALLENGER,105,72,False,False,False,False,Bottom,59.32,177,NorthAmerica
CHALLENGER,131,123,True,False,False,False,Bottom,51.57,254,NorthAmerica
CHALLENGER,154,140,True,False,False,False,Bottom,52.38,294,NorthAmerica
CHALLENGER,170,152,True,False,False,False,Top,52.8,322,NorthAmerica
CHALLENGER,206,188,False,False,False,False,Bottom,52.28,394,NorthAmerica
CHALLENGER,140,121,True,False,False,False,Bottom,53.64,261,NorthAmerica
CHALLENGER,80,63,False,False,False,False,Top,55.94,143,NorthAmerica
CHALLENGER,128,115,False,False,False,False,Mid,52.67,243,NorthAmerica
CHALLENGER,141,130,True,False,False,False,Bottom,52.03,271,NorthAmerica
CHALLENGER,415,396,False,False,True,False,Mid,51.17,811,NorthAmerica
CHALLENGER,64,47,False,False,True,False,Mid,57.66,111,NorthAmerica
CHALLENGER,179,126,True,False,False,True,Bottom,58.69,305,NorthAmerica
CHALLENGER,327,312,False,False,True,False,Bottom,51.17,639,NorthAmerica
CHALLENGER,169,149,False,False,False,False,Bottom,53.14,318,NorthAmerica
CHALLENGER,115,99,False,False,False,False,Mid,53.74,214,NorthAmerica
CHALLENGER,132,116,False,False,False,False,Mid,53.23,248,NorthAmerica
CHALLENGER,71,59,False,False,False,False,Bottom,54.62,130,NorthAmerica
CHALLENGER,184,165,True,False,False,False,Jungle,52.72,349,NorthAmerica
CHALLENGER,171,139,True,False,False,False,Bottom,55.16,310,NorthAmerica
CHALLENGER,85,70,False,False,False,True,Jungle,54.84,155,NorthAmerica
CHALLENGER,65,42,False,False,False,True,Mid,60.75,107,NorthAmerica
CHALLENGER,116,95,True,False,False,False,Jungle,54.98,211,NorthAmerica
CHALLENGER,226,211,True,False,False,True,Mid,51.72,437,NorthAmerica
CHALLENGER,79,58,False,False,True,True,Mid,57.66,137,NorthAmerica
CHALLENGER,134,119,True,False,False,True,Bottom,52.96,253,NorthAmerica
CHALLENGER,125,109,False,False,False,False,Bottom,53.42,234,NorthAmerica
CHALLENGER,103,85,False,False,False,False,Bottom,54.79,188,NorthAmerica
CHALLENGER,247,168,False,False,False,False,Mid,59.52,415,NorthAmerica
CHALLENGER,110,92,False,False,False,False,Jungle,54.46,202,NorthAmerica
CHALLENGER,87,53,False,False,True,False,Top,62.14,140,NorthAmerica
CHALLENGER,200,126,False,False,True,True,Top,61.35,326,NorthAmerica
CHALLENGER,192,179,True,False,False,True,Bottom,51.75,371,NorthAmerica
CHALLENGER,147,130,False,False,False,False,Top,53.07,277,NorthAmerica
CHALLENGER,96,74,False,False,False,True,Jungle,56.47,170,NorthAmerica
CHALLENGER,109,83,False,False,True,False,Jungle,56.77,192,NorthAmerica
CHALLENGER,236,216,False,False,False,False,Bottom,52.21,452,NorthAmerica
CHALLENGER,88,69,False,False,False,False,Bottom,56.05,157,NorthAmerica
CHALLENGER,130,113,True,False,False,False,Bottom,53.5,243,NorthAmerica
CHALLENGER,83,59,False,False,False,False,Top,58.45,142,NorthAmerica
CHALLENGER,130,117,True,False,False,False,Bottom,52.63,247,NorthAmerica
CHALLENGER,70,48,False,False,False,False,Mid,59.32,118,NorthAmerica
CHALLENGER,120,48,False,False,False,False,Bottom,71.43,168,NorthAmerica
CHALLENGER,84,67,False,False,False,False,Mid,55.63,151,NorthAmerica
CHALLENGER,257,222,False,False,False,False,Jungle,53.65,479,NorthAmerica
CHALLENGER,125,108,True,False,False,False,Bottom,53.65,233,NorthAmerica
CHALLENGER,117,107,False,False,True,False,Bottom,52.23,224,NorthAmerica
CHALLENGER,100,78,False,False,False,False,Mid,56.18,178,NorthAmerica
CHALLENGER,164,154,True,False,False,False,Bottom,51.57,318,NorthAmerica
CHALLENGER,152,139,False,False,False,False,Top,52.23,291,NorthAmerica
CHALLENGER,140,129,False,False,False,False,Bottom,52.04,269,NorthAmerica
CHALLENGER,84,71,False,False,False,False,Jungle,54.19,155,NorthAmerica
CHALLENGER,236,224,True,False,False,False,Mid,51.3,460,NorthAmerica
CHALLENGER,167,156,False,False,True,False,Mid,51.7,323,NorthAmerica
CHALLENGER,150,143,True,False,False,False,Mid,51.19,293,NorthAmerica
CHALLENGER,130,110,False,False,True,False,Jungle,54.17,240,NorthAmerica
CHALLENGER,105,101,True,False,False,False,Mid,50.97,206,NorthAmerica
CHALLENGER,102,85,False,False,True,False,Bottom,54.55,187,NorthAmerica
CHALLENGER,250,228,False,False,True,False,Jungle,52.3,478,NorthAmerica
CHALLENGER,225,209,False,False,False,False,Mid,51.84,434,NorthAmerica
CHALLENGER,245,209,False,False,True,False,Jungle,53.96,454,NorthAmerica
CHALLENGER,120,110,False,False,False,False,Jungle,52.17,230,NorthAmerica
CHALLENGER,107,88,False,False,True,True,Jungle,54.87,195,NorthAmerica
CHALLENGER,71,46,False,False,False,False,Mid,60.68,117,NorthAmerica
CHALLENGER,73,54,False,False,True,False,Bottom,57.48,127,NorthAmerica
CHALLENGER,94,57,False,False,True,True,Mid,62.25,151,NorthAmerica
CHALLENGER,238,207,False,False,True,False,Top,53.48,445,NorthAmerica
CHALLENGER,113,100,False,False,False,False,Bottom,53.05,213,NorthAmerica
CHALLENGER,68,48,False,False,False,False,Top,58.62,116,NorthAmerica
CHALLENGER,312,303,False,False,False,False,Mid,50.73,615,NorthAmerica
CHALLENGER,104,82,False,False,True,False,Mid,55.91,186,NorthAmerica
CHALLENGER,76,61,False,False,True,False,Mid,55.47,137,NorthAmerica
CHALLENGER,94,76,False,False,False,False,Jungle,55.29,170,NorthAmerica
CHALLENGER,109,92,False,False,False,False,Top,54.23,201,NorthAmerica
CHALLENGER,285,217,False,False,True,False,Bottom,56.77,502,NorthAmerica
CHALLENGER,183,172,False,False,False,False,Top,51.55,355,NorthAmerica
CHALLENGER,97,54,False,False,False,True,Mid,64.24,151,NorthAmerica
CHALLENGER,54,37,False,False,True,True,Bottom,59.34,91,NorthAmerica
CHALLENGER,138,123,True,False,False,False,Bottom,52.87,261,NorthAmerica
CHALLENGER,109,102,True,False,False,False,Mid,51.66,211,NorthAmerica
CHALLENGER,159,146,True,False,False,False,Bottom,52.13,305,NorthAmerica
CHALLENGER,123,99,False,False,True,False,Jungle,55.41,222,NorthAmerica
CHALLENGER,175,155,False,False,True,False,Mid,53.03,330,NorthAmerica
CHALLENGER,143,130,False,False,True,True,Bottom,52.38,273,NorthAmerica
CHALLENGER,88,65,False,False,False,False,Mid,57.52,153,NorthAmerica
CHALLENGER,157,122,False,False,True,True,Mid,56.27,279,NorthAmerica
CHALLENGER,113,98,False,False,True,True,Bottom,53.55,211,NorthAmerica
CHALLENGER,238,220,False,False,True,True,Top,51.97,458,NorthAmerica
CHALLENGER,39,21,False,False,False,False,Jungle,65.0,60,NorthAmerica
CHALLENGER,188,156,True,False,False,False,Bottom,54.65,344,NorthAmerica
CHALLENGER,147,140,True,False,False,False,Mid,51.22,287,NorthAmerica
CHALLENGER,79,60,False,False,False,False,Jungle,56.83,139,NorthAmerica
CHALLENGER,75,62,False,False,False,False,Bottom,54.74,137,NorthAmerica
CHALLENGER,126,114,True,False,False,False,Jungle,52.5,240,NorthAmerica
CHALLENGER,219,195,False,False,False,False,Mid,52.9,414,NorthAmerica
CHALLENGER,80,61,False,False,True,True,Mid,56.74,141,NorthAmerica
CHALLENGER,107,88,False,False,True,True,Mid,54.87,195,NorthAmerica
CHALLENGER,151,131,False,False,True,False,Jungle,53.55,282,NorthAmerica
CHALLENGER,65,44,False,False,True,True,Bottom,59.63,109,NorthAmerica
CHALLENGER,266,226,False,False,True,True,Top,54.07,492,NorthAmerica
CHALLENGER,153,132,False,False,True,False,Top,53.68,285,NorthAmerica
CHALLENGER,173,154,False,False,True,False,Bottom,52.91,327,NorthAmerica
CHALLENGER,69,49,False,False,False,False,Top,58.47,118,NorthAmerica
CHALLENGER,79,68,False,False,False,False,Bottom,53.74,147,NorthAmerica
CHALLENGER,136,120,True,False,False,False,Top,53.12,256,NorthAmerica
CHALLENGER,104,86,False,False,False,False,Bottom,54.74,190,NorthAmerica
CHALLENGER,72,40,False,False,True,True,Top,64.29,112,NorthAmerica
